Distanz;Typ Auflage;Passe;x;y;Ringe
18;40;1;-35;15;9
18;40;1;-118;-57;4
18;40;1;0;41;9
18;40;1;-1;1;10
18;40;1;-3;-54;8
18;40;1;-2;4;10
18;40;2;38;-55;7
18;40;2;-15;-32;9
18;40;2;26;-118;5
18;40;2;14;-40;8
18;40;2;-76;-38;6
18;40;2;-12;-67;7
18;40;2;-73;-24;7
18;40;2;-30;0;9
18;40;2;6;-64;7
18;40;2;-43;-17;8
18;40;2;-58;-52;7
18;40;2;-38;2;9
18;40;3;-12;25;9
18;40;3;7;-56;8
18;40;3;-39;-30;8
18;40;3;-66;-32;7
18;40;3;-102;-47;5
18;40;3;-56;-59;7
18;40;3;21;-5;10
18;40;3;-50;-77;6
18;40;3;-89;-118;3
18;40;3;-23;-9;9
18;40;3;-40;26;8
18;40;3;-29;18;9
18;40;4;-45;58;7
18;40;4;9;17;10
18;40;4;-24;104;5
18;40;4;-4;-24;9
18;40;4;-73;11;7
18;40;4;9;-6;10
18;40;4;-87;-29;6
18;40;4;44;-16;8
18;40;4;-107;-121;3
18;40;4;-25;36;8
18;40;4;-137;-18;4
18;40;4;18;0;10
18;40;5;-34;-36;8
18;40;5;-42;8;8
18;40;5;-33;-87;6
18;40;5;-56;46;7
18;40;5;-59;2;8
18;40;5;-29;87;6
18;40;6;13;20;9
18;40;6;-7;83;6
18;40;6;7;-7;10
18;40;6;14;53;8
18;40;6;-41;49;7
18;40;6;12;3;10
18;40;6;-11;14;10
18;40;6;-16;36;9
18;40;6;-11;61;7
18;40;6;-33;43;8
18;40;6;-1;-9;10
18;40;6;-83;20;6
18;40;7;34;-26;8
18;40;7;118;132;2
18;40;7;-28;25;9
18;40;7;-9;-13;10
18;40;7;-21;91;6
18;40;7;-52;-58;7
18;40;7;10;-48;8
18;40;7;19;-37;9
18;40;7;-80;24;6
18;40;7;-37;-3;9
18;40;7;66;-7;7
18;40;7;-7;19;10
18;40;8;-57;13;8
18;40;8;48;39;7
18;40;8;-2;-8;10
18;40;8;-18;41;8
18;40;8;-48;48;7
18;40;8;22;-28;9
18;40;8;-41;-12;8
18;40;8;25;-2;9
18;40;8;50;31;8
18;40;8;13;3;10
18;40;8;6;-53;8
18;40;8;-38;17;9
18;40;9;27;42;8
18;40;9;8;17;10
18;40;9;-42;55;7
18;40;9;23;23;9
18;40;9;13;-12;10
